Date,Shift,Name,T1,T2,Dt,From,To,Way,Std,S,V
23-03-06,1,Cart 04,13:38:07,13:41:29,202,laser,clearing_bldg,1,50.925045,292.797113,1.449491
23-03-06,1,Cart 04,14:22:17,14:26:42,265,press_room,machine_shop,1,55.745070,270.250453,1.019813
23-03-06,1,Cart 04,14:31:01,14:35:11,250,machine_shop,clearing_bldg,1,55.530076,259.764353,1.039057
23-03-06,1,Cart 04,14:45:24,14:52:08,404,clearing_bldg,laser,2,39.890682,595.758022,1.474649
23-03-06,1,Cart 05,11:41:50,11:44:31,161,clearing_bldg,cell_16,1,17.156499,126.917056,0.788305
23-03-06,1,Cart 05,11:46:01,11:47:15,74,cell_16,clearing_bldg,1,18.560500,90.031710,1.216645
23-03-06,1,Cart 05,14:11:02,14:15:33,271,clearing_bldg,trunion_cell,1,50.929448,255.227279,0.941798
23-03-06,1,Cart 05,14:16:38,14:20:53,255,laser,clearing_bldg,1,49.444667,412.410174,1.617295
23-03-06,1,Cart 09,10:03:11,10:06:00,169,machine_shop,trunion_cell,1,21.197314,277.082180,1.639540
23-03-06,1,Cart 09,11:43:52,11:52:30,518,sheet_metal,unknown,1,51.314348,584.452447,1.128287
23-03-06,1,Cart 09,11:56:19,11:57:16,57,unknown,sheet_metal,1,16.146245,65.853173,1.155319
23-03-06,1,Cart 10,07:00:01,07:05:29,328,unknown,machine_shop,1,48.743404,319.391899,0.973756
23-03-06,1,Cart 10,08:44:25,08:46:27,122,sheet_metal,tool_storage,2,15.004660,77.148598,0.632366
23-03-06,1,Cart 12,10:36:45,10:40:30,225,laser,bldg_2_entry_area,1,29.405375,244.863464,1.088282
23-03-06,1,Cart 15,07:15:22,07:17:47,145,cell_16,press_room,1,15.995810,137.740902,0.949937
23-03-06,1,Cart 15,08:36:39,08:39:30,171,cell_16,tool_storage,2,21.396020,204.300271,1.194738
23-03-06,1,Cart 15,13:15:54,13:20:49,295,cell_16,tool_room,1,20.520612,271.331892,0.919769
23-03-06,1,Forklift 17,07:14:24,07:21:30,426,shear_rolled_vane_cell,tool_storage,1,62.009435,643.775929,1.511211
23-03-06,1,Forklift 17,08:23:01,08:29:00,359,shear_rolled_vane_cell,unknown,1,45.478107,613.238301,1.708185
23-03-06,1,Forklift 17,09:08:48,09:14:42,354,tool_storage,unknown,1,18.994567,367.589749,1.038389
23-03-06,1,Forklift 17,13:06:55,13:17:16,621,tool_storage,clearing_bldg,1,50.932642,954.212300,1.536574
23-03-06,1,Forklift 17,13:18:08,13:19:54,106,clearing_bldg,unknown,1,20.456591,110.437359,1.041862
23-03-06,2,Forklift 01,18:24:50,18:26:39,109,clearing_bldg,bldg_2_entry_area,1,46.999582,183.203231,1.680764
23-03-06,2,Forklift 01,18:28:01,18:29:56,115,bldg_2_entry_area,tool_storage,1,49.882050,192.190358,1.671221
23-03-06,2,Cart 04,20:57:32,21:00:40,188,press_room,laser,1,31.735188,155.200490,0.825535
23-03-06,2,Cart 04,21:16:20,21:19:09,169,unknown,clearing_bldg,1,40.298641,211.730068,1.252841
23-03-06,2,Cart 04,22:15:05,22:19:28,263,clearing_bldg,sheet_metal,1,47.785597,250.841334,0.953769
23-03-06,2,Cart 04,22:27:41,22:30:34,173,sheet_metal,clearing_bldg,1,41.326202,197.176915,1.139751
23-03-06,2,Cart 05,15:42:02,15:44:46,164,clearing_bldg,bldg_2_entry_area,1,38.554827,232.606705,1.418334
23-03-06,2,Cart 05,15:52:44,15:55:54,190,unknown,tool_room,1,38.794583,170.542370,0.897591
23-03-06,2,Cart 05,15:56:24,15:57:23,59,tool_room,clearing_bldg,1,21.442996,82.522334,1.398684
23-03-06,2,Cart 09,16:12:51,16:18:36,345,sheet_metal,tool_storage,2,53.909237,422.562003,1.224817
23-03-06,2,Cart 09,18:38:04,18:41:09,185,sheet_metal,clearing_bldg,1,45.527627,231.068534,1.249019
23-03-06,2,Cart 09,18:41:54,18:43:26,92,clearing_bldg,cell_16,1,17.534823,90.656511,0.985397
23-03-06,2,Cart 09,18:43:49,18:47:01,192,cell_16,sheet_metal,1,39.863710,197.345099,1.027839
23-03-06,3,Pallet truck 02,02:02:42,02:09:04,382,cell_16,machine_shop,1,33.891923,289.361808,0.757492
